Player_Name, Player_Age, Yrs_in_League, Games, Minutes_Played, Field_Goals, FG_Attemps, 3_Points, 3_Points_Attempts, Free_Throws, FT_Attempts, Offensive_Rebounds, Total_Rebounds, Assists, Steals, Blocks, Turnovers, Personal_Fouls, Total_Points
Quincy Acy,27,6,327,5269,579,1296,181,508,286,376,306,1154,209,139,131,215,641,1625
Arron Afflalo,32,11,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198
Cole Aldrich,29,8,339,3389,435,825,0,0,180,244,334,1131,183,137,233,199,509,1050
Kadeem Allen,25,1,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19
Tony Allen,36,14,820,18055,2588,5447,125,444,1353,1909,1021,2884,1077,1158,337,1118,1947,6654
Justin Anderson,24,3,168,2394,344,816,114,380,174,222,112,470,120,75,55,106,208,976
Darrell Arthur,29,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282
Jamel Artis,25,1,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77
Omer Asik,31,8,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479
Luke Babbitt,28,8,381,5332,650,1593,394,979,124,166,111,846,224,89,58,165,520,1818
Harrison Barnes,25,6,463,14059,2294,5084,484,1319,985,1249,483,2284,715,333,92,533,802,6057
Jerryd Bayless,29,10,552,11829,1637,3950,470,1284,956,1160,165,1173,1555,352,71,793,1150,4700
Jabari Bird,23,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39
Tarik Black,26,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075
Vander Blue,25,3,10,134,12,39,2,13,4,12,2,13,12,4,0,11,7,30
Bogdan Bogdanovic,25,1,78,2175,344,772,129,329,100,119,31,223,258,72,16,125,172,917
Andrew Bogut,33,13,694,19728,2968,5549,3,25,830,1492,1742,6057,1535,439,1083,1196,2164,6769
Joel Bolomboy,24,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31
Trevor Booker,30,8,532,10872,1548,3003,75,246,508,799,1029,2932,566,355,277,540,1063,3679
Chris Boucher,25,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Tony Bradley,20,1,9,29,3,11,0,1,2,2,4,11,1,0,0,0,1,8
Corey Brewer,31,11,783,18246,2629,6187,489,1729,1194,1674,585,2203,1209,987,215,929,1698,6941
Aaron Brooks,33,10,645,13439,2261,5478,820,2218,917,1095,254,1079,1925,359,87,1000,1217,6259
Anthony Brown,25,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161
Bobby Brown,33,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688
Markel Brown,26,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584
Nicolas Brussino,24,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150
Thomas Bryant,20,1,15,72,8,21,1,10,5,9,3,17,6,1,2,2,6,22
Dwight Buycks,28,3,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310
Bruno Caboclo,22,4,35,213,20,71,8,33,5,6,14,36,9,7,7,14,17,53
DeMarre Carroll,31,9,487,11682,1554,3563,544,1496,667,904,575,2050,616,485,136,408,981,4319
Alex Caruso,23,1,37,562,50,116,13,43,21,30,15,65,75,23,10,42,52,134
Tyler Cavanaugh,23,1,39,518,67,152,32,89,17,21,45,127,27,9,4,14,61,183
Mario Chalmers,31,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743
Wilson Chandler,30,10,590,18376,3082,6926,778,2281,1011,1315,707,3214,1084,429,381,851,1605,7953
Marquese Chriss,20,2,154,3270,486,1109,128,414,209,339,172,743,143,118,140,215,468,1309
Gian Clavell,24,1,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20
Antonius Cleveland,23,1,17,123,8,21,3,4,4,6,3,14,2,7,5,7,23,23
John Collins,20,1,74,1785,314,545,16,47,133,186,176,541,98,47,80,105,215,777
Kyle Collinsworth,26,1,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101
Nick Collison,37,14,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359
Charles Cooke,23,1,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6
Jack Cooley,26,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67
Matt Costello,24,1,4,32,2,4,0,0,0,0,1,9,2,2,2,1,7,4
DeMarcus Cousins,27,8,535,17307,4105,8924,316,936,2992,4061,1522,5884,1725,765,653,1928,2066,11518
Jordan Crawford,29,6,281,6843,1286,3130,330,1041,530,642,153,703,883,196,23,529,437,3432
Deyonta Davis,21,2,98,1181,185,312,0,0,48,75,95,310,42,18,56,40,165,418
Dewayne Dedmon,28,5,286,4812,639,1158,50,142,244,351,452,1635,161,122,230,248,658,1572
Malcolm Delaney,28,2,127,2262,254,673,72,234,149,185,19,223,356,74,7,161,194,729
Luol Deng,32,14,880,30549,5071,11139,644,1938,2418,3140,1442,5395,2024,865,436,1445,1475,13204
Milton Doyle,24,1,10,125,13,47,4,23,4,8,3,18,10,6,2,2,13,34
PJ Dozier,21,1,2,3,1,2,0,0,0,0,0,1,0,0,0,1,1,2
Larry Drew,27,2,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63
Jarell Eddie,26,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87
Henry Ellenson,21,2,57,475,76,210,30,95,29,37,18,122,27,6,1,32,28,211
Wayne Ellington,30,9,592,12423,1741,4235,828,2174,423,497,198,1309,639,304,42,398,650,4733
Tyler Ennis,23,4,186,2336,320,763,66,208,73,95,48,250,359,98,18,171,233,779
Jawun Evans,21,1,48,778,89,253,15,54,38,49,9,84,100,36,6,44,97,231
Jeremy Evans,30,7,250,2626,364,640,6,26,145,211,239,641,107,90,121,85,291,879
Kay Felder,22,2,58,526,83,228,11,41,46,61,6,59,78,21,8,46,49,223
Cristiano Felicio,25,3,152,2338,295,508,0,6,139,209,237,646,121,47,41,100,245,729
Channing Frye,34,12,854,19431,2888,6538,1017,2627,864,1050,763,3950,844,451,535,774,2211,7657
Marcus Georges-Hunt,23,2,47,272,23,55,5,17,22,31,8,25,10,7,0,5,37,73
Jonathan Gibson,30,2,21,271,49,118,21,57,21,29,1,25,30,8,0,24,26,140
Manu Ginobili,40,16,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043
Josh Gray,24,1,5,86,11,41,3,13,7,11,2,10,12,8,2,7,8,32
Daniel Hamilton,22,1,6,28,5,11,2,5,0,0,0,5,8,1,0,2,2,12
Aaron Harrison,23,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79
Andrew Harrison,23,2,128,2800,298,789,90,298,272,353,46,267,375,91,47,166,332,958
Shaquille Harrison,24,1,23,384,59,124,6,26,28,38,9,61,55,26,7,22,42,152
Udonis Haslem,37,15,844,21444,2628,5356,4,43,1226,1623,1603,5711,726,422,249,800,2028,6486
Nigel Hayes,23,1,9,122,11,33,4,16,1,3,4,22,6,2,3,2,8,27
Reggie Hearn,26,1,3,7,1,2,1,2,0,0,0,0,0,0,0,0,0,3
Myke Henry,25,1,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107
Isaiah Hicks,23,1,18,240,33,72,2,9,12,18,10,41,16,2,4,16,45,80
Nene Hilario,35,16,923,24691,4115,7505,7,50,2521,3817,1654,5705,1693,1023,706,1677,2847,10758
Darrun Hilliard,24,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295
Rondae Hollis-Jefferson,23,3,175,4296,640,1404,32,135,476,621,236,1065,364,186,108,263,383,1788
Scotty Hopson,28,2,3,15,0,5,0,2,2,4,0,0,2,1,0,1,0,2
Danuel House,24,2,24,404,56,129,15,58,25,31,13,77,25,7,6,11,23,152
Dwight Howard,32,14,1035,35754,6494,11148,6,63,5005,8837,3647,13101,1531,979,2047,3043,3341,17999
Josh Huestis,26,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187
R.J. Hunter,24,3,44,369,43,119,22,78,8,9,2,43,16,17,4,13,36,116
